start,end,examples,accuracy
0,100,100,0.96
1000,1100,100,0.93
100,200,100,0.9
1100,1200,100,0.91
1200,1300,100,0.92
1300,1400,100,0.91
1400,1500,100,0.89
1500,1600,100,0.93
1600,1700,100,0.94
1700,1800,100,0.93
1800,1900,100,0.87
1900,2000,100,0.91
2000,2100,100,0.95
200,300,100,0.87
2100,2200,100,0.93
2200,2300,100,0.93
2300,2400,100,0.9
2400,2500,100,0.94
2500,2600,100,0.92
2600,2700,100,0.92
2700,2800,100,0.96
2800,2900,100,0.93
2900,3000,100,0.97
3000,3100,100,0.96
300,400,100,0.9
3100,3200,100,0.92
3200,3300,100,0.88
3300,3400,100,0.9
3400,3500,100,0.92
3500,3600,100,0.92
3600,3700,100,0.93
3700,3800,100,0.91
3800,3900,100,0.93
3900,4000,100,0.91
4000,4100,100,0.94
400,500,100,0.92
4100,4200,100,0.93
4200,4300,100,0.94
4300,4400,100,0.95
4400,4500,100,0.88
4500,4600,100,0.9
4600,4700,100,0.9
4700,4800,100,0.91
4800,4900,100,0.95
4900,5000,100,0.92
500,600,100,0.87
600,700,100,0.88
700,800,100,0.94
800,900,100,0.91
900,1000,100,0.91
