start,end,examples,accuracy
0,10,10,1.0
1000,1010,10,0.9
100,110,10,0.9
1010,1020,10,0.8
1020,1030,10,1.0
1030,1040,10,0.9
1040,1050,10,1.0
1050,1060,10,0.9
1060,1070,10,0.8
1070,1080,10,0.9
1080,1090,10,0.9
1090,1100,10,0.9
10,20,10,0.8
1100,1110,10,0.8
110,120,10,0.8
1110,1120,10,0.8
1120,1130,10,0.8
1130,1140,10,1.0
1140,1150,10,0.8
1150,1160,10,0.9
1160,1170,10,0.8
1170,1180,10,0.9
1180,1190,10,0.8
1190,1200,10,0.9
1200,1210,10,1.0
120,130,10,0.9
1210,1220,10,0.9
1220,1230,10,0.9
1230,1240,10,0.8
1240,1250,10,0.7
1250,1260,10,0.9
1260,1270,10,0.8
1270,1280,10,0.7
1280,1290,10,0.9
1290,1300,10,0.7
1300,1310,10,1.0
130,140,10,0.8
1310,1320,10,1.0
1320,1330,10,0.9
1330,1340,10,0.9
1340,1350,10,0.8
1350,1360,10,1.0
1360,1370,10,0.9
1370,1380,10,1.0
1380,1390,10,0.8
1390,1400,10,1.0
1400,1410,10,0.9
140,150,10,0.7
1410,1420,10,0.9
1420,1430,10,1.0
1430,1440,10,1.0
1440,1450,10,0.8
1450,1460,10,0.8
1460,1470,10,0.9
1470,1480,10,0.9
1480,1490,10,0.8
1490,1500,10,0.9
1500,1510,10,0.8
150,160,10,0.9
1510,1520,10,1.0
1520,1530,10,1.0
1530,1540,10,1.0
1540,1550,10,0.9
1550,1560,10,0.8
1560,1570,10,0.8
1570,1580,10,0.7
1580,1590,10,1.0
1590,1600,10,1.0
1600,1610,10,0.8
160,170,10,0.7
1610,1620,10,0.9
1620,1630,10,0.8
1630,1640,10,1.0
1640,1650,10,1.0
1650,1660,10,0.8
1660,1670,10,1.0
1670,1680,10,0.8
1680,1690,10,1.0
1690,1700,10,1.0
1700,1710,10,1.0
170,180,10,0.9
1710,1720,10,0.8
1720,1730,10,1.0
1730,1740,10,0.8
1740,1750,10,1.0
1750,1760,10,1.0
1760,1770,10,0.9
1770,1780,10,0.8
1780,1790,10,1.0
1790,1800,10,0.9
1800,1810,10,0.8
180,190,10,0.9
1810,1820,10,0.8
1820,1830,10,0.8
1830,1840,10,0.9
1840,1850,10,0.8
1850,1860,10,0.8
1860,1870,10,0.9
1870,1880,10,1.0
1880,1890,10,1.0
1890,1900,10,1.0
1900,1910,10,0.9
190,200,10,1.0
1910,1920,10,0.7
1920,1930,10,0.7
1930,1940,10,0.9
1940,1950,10,0.9
1950,1960,10,0.9
1960,1970,10,0.8
1970,1980,10,0.9
1980,1990,10,1.0
1990,2000,10,0.7
2000,2010,10,0.9
200,210,10,1.0
2010,2020,10,1.0
2020,2030,10,1.0
